#Timestamp	CPU_CYCLES	INST_RETIRED	EXCEPTION_TAKEN	EXCEPTION_RETURN	CID_WRITE_RETIRED	BRANCH_MISPRED	BRANCH_PRED
1481345183454499129	584493754	420507813	7860	9377	0	2565317	31478701
1481345183955231684	585632665	421211812	7875	9396	0	2566268	31544519
1481345184455866613	586419421	421828742	7890	9415	0	2578216	31587488
1481345184956522834	586497635	422173335	7890	9410	0	2571940	31587379
1481345185457197597	587508255	422876639	7906	9431	0	2574947	31655499
1481345185957856568	583605517	419951573	7851	9366	0	2551642	31439767
1481345186458518456	586293332	421809938	7884	9405	0	2564849	31591593
1481345186959163469	589709808	424213858	7928	9455	0	2586494	31764864
1481345187459797773	586513703	421786761	7883	9403	0	2577162	31584000
1481345187960535619	588022566	422972801	7898	9420	0	2587342	31657687
1481345188461187840	587989755	422998610	7908	9432	0	2588457	31672640
1481345188961854061	581753258	418353737	7822	9335	0	2563754	31335866
1481345189462578241	585297463	421098248	7872	9393	0	2574351	31512890
1481345189963281795	585343914	421165937	7875	9396	0	2575511	31527947
1481345190463989058	587050189	422479069	7902	9427	0	2575661	31627567
1481345190964733696	582636990	419345323	7840	9355	0	2557025	31393746
1481345191465488376	585925346	421707032	7884	9407	0	2569078	31569918
1481345191966202764	586706459	422282490	7894	9417	0	2572210	31605562
1481345192466949652	584335613	420540316	7867	9386	0	2563996	31476623
1481345192967550289	586388043	421837728	7890	9419	0	2585157	31584867
1481345193468156468	587696859	422972351	7907	9429	0	2583002	31664299
1481345193968750981	582814444	419334147	7830	9340	0	2560349	31396021
1481345194469353535	585846482	421534894	7881	9401	0	2575124	31559150
1481345194970020382	585290303	421092349	7876	9398	0	2568678	31526086
1481345195470668978	581178923	417999193	7815	9323	0	2555202	31305653
1481345195971269615	585127361	421318760	7881	9406	0	2567073	31540374
1481345196471922295	584025938	420361884	7858	9373	0	2561205	31477035
1481345196972563849	585337266	421251765	7872	9390	0	2569001	31552279
1481345197473203737	588038077	423224967	7908	9435	0	2578746	31702382
1481345197973829541	587617943	422978902	7907	9433	0	2577123	31664684
1481345198474454262	585950004	421771945	7885	9410	0	2576255	31573461
1481345198975078691	582477089	418860545	7836	9351	0	2562493	31370633
1481345199475708954	585237906	421170125	7876	9398	0	2574530	31532020
1481345199976356300	587457543	422487171	7893	9414	0	2593767	31637951
1481345200477010896	587095185	422374501	7895	9418	0	2587071	31613579
1481345200977655284	586562071	421961884	7888	9413	0	2579650	31598984
1481345201478265547	586002230	421947420	7891	9417	0	2565054	31578200
1481345201978896018	584718640	420652732	7861	9377	0	2574626	31494720
1481345202479606864	585028313	420842813	7876	9400	0	2573122	31510540
1481345202980326627	587131491	422552127	7900	9426	0	2583022	31624276
1481345203480962389	586396139	421893344	7889	9415	0	2576972	31591389
1481345203981592235	587099282	422417460	7902	9432	0	2583455	31623538
1481345204482214206	586699463	422320920	7896	9420	0	2576316	31599979
1481345204982841636	583719600	419954391	7852	9368	0	2560318	31448717
1481345205483470023	587249720	422641236	7905	9433	0	2578240	31639795
1481345205984118994	586191515	421778821	7888	9411	0	2576079	31575593
1481345206484738882	586045174	421745861	7878	9398	0	2572828	31562586
1481345206985451603	585834960	421234798	7879	9399	0	2574833	31552472
1481345207486056658	585495422	421169946	7871	9392	0	2574033	31526668
1481345207986679879	586935708	422218204	7896	9423	0	2585398	31616635
1481345208487302891	585946188	421504134	7885	9407	0	2575604	31565133
1481345208987923821	585139889	421107191	7867	9385	0	2571684	31526146
1481345209488542208	585071291	421080399	7872	9391	0	2570142	31519610
1481345209989166554	586645599	421863252	7890	9413	0	2572960	31600340
1481345210489779734	585755057	421618391	7884	9405	0	2566554	31547655
1481345210990466830	586711713	421913854	7886	9409	0	2578204	31601951
1481345211491086342	585129064	421084003	7871	9386	0	2571022	31513790
1481345211991720022	587941467	422960505	7906	9433	0	2584402	31672721
1481345212492431410	588167046	423209145	7907	9433	0	2594453	31698527
1481345212993046214	587819220	422981451	7901	9424	0	2589407	31670514
